Courses,Title,Instructor,PrizeCount,IsGraduate,HM
CS3217,Software Engineering on Modern Application Platforms,Dr. Leong Wai Kay,0,FALSE,TRUE
CS3247,Game Development,A/Prof. Bhojan Anand,3,FALSE,FALSE
CS4240,Interaction Design for Virtual and Augmented Reality,A/Prof. Bhojan Anand,2,FALSE,FALSE
CS4248,Natural Language Processing,"A/Prof. Kan Min-Yen, Dr. Christian Von Der Weth",3,FALSE,FALSE
CS5224,Cloud Computing,A/Prof. Anandha Gopalan,1,TRUE,FALSE
FYP-IP,Final Year Project and Independet Project,Dr. Prabhu NATARAJAN,3,FALSE,FALSE
IS4151/IS5451,AIoT Solutions and Development,A/Prof. Tan Wee Kek,1,FALSE,FALSE
IS5126,Hands-on with Applied Analytics,Dr. Prakash Chandra Sukhwal,0,TRUE,TRUE
IT5007,Software Engineering on Application Architecture,Dr. Prasanna Karthik Vairam,2,TRUE,FALSE
MComp,MComp Thesis,Dr. Prasanna Karthik Vairam,2,TRUE,FALSE
CP3108,Independet Work,"A/Prof. Martin Henz, Dr. Boyd Anderson and Dr. Sanka Rasnayaka",3,FALSE,FALSE
